Total Daily Sunspots,Northern Total Daily Sunspots,Southern Total Daily Sunspots,Earthquake,Magnitude,Longitude,Latitude,OutagesCount,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp,Year,Month
0.3357900651,0.2169601779,0.4017703041,-1.530920077,1.704577686,9.03,48.31,0,-1.361702433,0.08633025475,0.548618474,-0.2615875894,0.491046202,0.4904071485,0.5007999659,-0.4116828274,-0.04956747695,1999,4
1.364715714,1.780262825,0.7541844106,-0.1987129222,-0.1076369874,27.859,37.243,0,-1.005438966,0.06611176125,-0.2289044562,-0.2465219354,0.456312125,0.5008688577,0.8351513838,-0.4116828274,-0.5134674348,1999,5
2.251468676,3.013674994,1.169272746,-0.641617457,-0.4470416006,-119.0428333,37.6508333,0,-0.7327563717,0.01928998683,-0.3171194589,-0.2319849007,0.4178730799,0.491889224,0.8736004979,-0.4116828274,-0.4006269045,1999,6
1.78111872,1.953612917,1.345993522,-1.039882183,-0.4078597506,-117.255,34.043,0,-0.7797706121,-0.09244379303,-0.5202191161,-0.2206195828,0.396685293,0.5085407777,0.9718016136,-0.4116828274,-0.3003242109,1999,7
1.237715606,0.9786499756,1.305923114,-1.235132824,0.579474014,-56.089,-54.075,0,-1.116183621,-0.3499635523,-0.4402101602,-0.1994748051,0.3834863437,0.526674407,1.076757303,-0.4116828274,-0.4821228431,1999,8
0.5504539634,1.203479792,-0.1705173266,-1.447851216,1.284983216,-121.0478333,36.4703333,0,-1.342896736,-0.5542767498,0.4434784999,-0.157978179,0.378623573,0.5592800673,1.356032963,-0.4116828274,-0.3504755577,1999,9
1.697950509,2.325527659,0.8302154423,-0.01860099923,1.435918895,-67.481,18.639,0,-1.350210063,-0.5106473691,0.8876307807,-0.1204461987,0.3833705635,0.5825573703,0.4436458774,-0.4116828274,-0.5573498633,1999,10
1.932282565,2.0303072,1.547373012,-0.2425763862,0.4201282868,-116.409,34.855,0,-1.421253804,-0.3691179146,0.9902063652,-0.0813283601,0.3932118853,0.6139424978,0.7631891905,-0.4116828274,-0.6701903936,1999,11
0.7926532831,1.09841913,0.3750566983,-1.09112092,1.115156057,-120.521,35.9616667,0,-1.554983199,-0.2243960664,1.266134687,-0.06150513107,0.3869597514,0.6520405555,0.8078732961,-0.4116828274,0.05073521664,1999,12
1.076998656,0.7748322918,1.211398047,-0.8457960593,0.3289509561,-116.355,34.692,-0.8067081867,-1.54453559,-0.09563618675,1.275879368,-0.03824587567,0.3709820761,0.6778461048,1.720779965,-0.4116828274,-0.7391484954,2000,1
1.457998978,0.7117958947,1.969653472,-1.2033027,0.5426305689,151.907,-4.358,0,-1.595728874,-0.06903290582,0.8532679599,-0.0437963798,0.342963254,0.6713947175,1.489305906,-0.4116828274,0.2074581754,2000,2
2.551548575,1.649987604,3.051554504,-1.018920882,0.6789812711,-117.595,36.08,-0.8067081867,-1.482894697,0.04376500528,0.7563340326,-0.04009604372,0.3013981419,0.6502969373,1.099359148,-0.4116828274,0.02565954325,2000,3
1.986791461,1.684657622,1.985065167,-0.8916003846,0.3340066897,-118.8233,38.0899,-0.8067081867,-0.8382772224,0.1778455411,0.4952791701,-0.02978796462,0.2545071381,0.6802871703,1.53554876,-0.4116828274,0.7277783984,2000,4
1.648499139,1.670999736,1.379899253,-0.7010078109,0.375457087,-115.984,31.72,-0.2492269195,-0.1299293333,0.1448574728,-0.1735136406,0.03179620024,0.2066898922,0.7037388351,0.7855312433,-0.4116828274,-0.3692823128,2000,5
1.928348933,2.779389718,0.807611622,-0.8423025091,0.7744876575,15.101,46.433,-0.6952119333,-0.4506709291,0.1661400975,-0.2494195731,0.07857902076,0.1791341912,0.7307649171,1.018304258,-0.4116828274,-0.4883917614,2000,6
3.014593214,3.237454203,2.345698845,-0.9432272935,1.123706842,-116.2976667,34.7238333,-0.9182044402,-0.5039537349,-0.03178831254,-0.3950769031,0.1338197523,0.1822602581,0.7388727418,1.342264024,-0.4116828274,-0.4319714963,2000,7
1.901937407,2.185796979,1.339828844,-1.020861743,0.8334873616,-118.22,37.8478,-0.4722194264,-0.4402233201,-0.2073699666,-0.7781967111,0.1488854064,0.180407774,0.7416625309,2.377272609,-0.4116828274,0.05073521664,2000,8
1.388879451,1.625823652,0.9493992217,-0.8947057625,-0.1409328844,-100.753,-36.136,0,-0.5520127363,-0.3446428962,-0.1719750069,0.1626295119,0.1731136178,0.752211421,1.218083777,-0.4116828274,-0.1310634155,2000,9
1.224790817,0.8179071631,1.439491142,-1.03755315,0.1384533097,136.589,-3.966,0,-0.6920106966,-0.3361298463,1.015337383,0.1850958381,0.1779763886,0.7854273477,2.379350939,-0.4116828274,-0.7328795771,2000,10
1.423720188,1.828590729,0.8148037467,-0.8842251119,1.520588314,-122.8065,38.8118333,0,-1.082751273,-0.1935362605,1.102013752,0.2165486948,0.1827233791,0.7941454387,2.201653682,-0.4116828274,-1.071401168,2000,11
1.254574028,1.684657622,0.6463025412,-0.777865916,0.001600296764,-114.98,36.051,-1.029700694,-0.9009628763,-0.0509426748,0.6953015598,0.2382220919,0.1720715955,0.7949300669,2.313363946,-0.4116828274,-0.946022801,2000,12
1.242773133,1.551230582,0.7552118569,-0.7545755811,-0.4205063485,-118.45,34.281,-0.9182044402,-0.8570829186,0.03950848033,0.614779726,0.2511732682,0.1548203373,0.8040840624,1.876654752,-0.4116828274,-0.005685048503,2001,1
0.6695868074,0.7569719793,0.483966014,-0.6579206914,-0.5045829721,-122.816,38.8063333,0,-1.043050359,0.1427292103,0.8271111859,0.2522305071,0.1283066586,0.8145457716,2.04473973,-0.4116828274,-0.2564417825,2001,2
1.646813297,1.613216373,1.433326464,-1.006111198,0.7899730382,-149.6235,61.4261,-0.4722194264,-0.9281266597,0.2533988589,1.227668843,0.2244779864,0.08593108473,0.7892633077,0.9180248122,-0.4116828274,0.9095770306,2001,3
1.484410505,1.429360214,1.316197577,-0.9284767481,1.402936629,-68.802,-31.017,0,-0.4464918855,0.3427858828,1.042007035,0.2152271462,0.04633423703,0.7670321757,1.057792538,-0.4116828274,0.6024000314,2001,4
1.233781975,1.903183799,0.3945781794,-1.010381092,0.7615337629,-117.1213333,33.527,-0.8067081867,-0.1006760281,0.3906717885,0.3106431181,0.1935537491,0.01727339267,0.7613654165,1.198339637,-0.4116828274,0.433139236,2001,5
2.179539411,3.156557494,0.898026903,-1.096167159,1.577489798,-117.2,34.0283333,-0.8067081867,-0.3733586226,0.3225673893,-0.1899257341,0.2043904477,-0.006229999386,0.7735707439,1.170282176,-0.4116828274,0.5397108479,2001,6
